Video_ID,Thumbnail_URL,Video_Title,User_Comment,Likes,Sentiment_Score,Clickbait_Label
VID001,https://img.youtube.com/vi/VID001/maxresdefault.jpg,Breaking News! You Won't Believe This,"Total clickbait, dislike and report.",79,-0.85,1
VID002,https://img.youtube.com/vi/VID002/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,Good content! Matches the title and thumbnail perfectly.,48,0.7,0
VID003,https://img.youtube.com/vi/VID003/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Nothing like the thumbnail, this is total clickbait.",63,-0.75,1
VID004,https://img.youtube.com/vi/VID004/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Exactly what I was looking for, the thumbnail is accurate.",55,0.7,0
VID005,https://img.youtube.com/vi/VID005/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"Total clickbait, dislike and report.",41,-0.8,1
VID006,https://img.youtube.com/vi/VID006/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Clear and honest video, no false thumbnails.",36,0.8,0
VID007,https://img.youtube.com/vi/VID007/maxresdefault.jpg,The Best Life Hacks for 2025!,Thumbnails are just misleading to get views.,75,-0.85,1
VID008,https://img.youtube.com/vi/VID008/maxresdefault.jpg,Discover Hidden Gems in Your City,"Informative video, no misleading here.",75,0.85,0
VID009,https://img.youtube.com/vi/VID009/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,This video is completely misleading!,120,-0.75,1
VID010,https://img.youtube.com/vi/VID010/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Exactly what I was looking for, the thumbnail is accurate.",136,0.85,0
VID011,https://img.youtube.com/vi/VID011/maxresdefault.jpg,Unmasking the Truth About Diets,False advertising with that thumbnail. Fake content.,126,-0.85,1
VID012,https://img.youtube.com/vi/VID012/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Informative video, no misleading here.",60,0.85,0
VID013,https://img.youtube.com/vi/VID013/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,This video is completely misleading!,45,-0.8,1
VID014,https://img.youtube.com/vi/VID014/maxresdefault.jpg,Discover Hidden Gems in Your City,"Great video, just like the thumbnail shows!",83,0.7,0
VID015,https://img.youtube.com/vi/VID015/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,The video does not match the thumbnail at all.,104,-0.8,1
VID016,https://img.youtube.com/vi/VID016/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"Great video, just like the thumbnail shows!",113,0.75,0
VID017,https://img.youtube.com/vi/VID017/maxresdefault.jpg,How to Get a Million Views on YouTube,The video does not match the thumbnail at all.,92,-0.6,1
VID018,https://img.youtube.com/vi/VID018/maxresdefault.jpg,Top 10 Secrets You Didn't Know!,"No clickbait, just quality information.",107,0.75,0
VID019,https://img.youtube.com/vi/VID019/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,The video does not match the thumbnail at all.,47,-0.6,1
VID020,https://img.youtube.com/vi/VID020/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,"No clickbait, just quality information.",149,0.8,0
VID021,https://img.youtube.com/vi/VID021/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,Thumbnails are just misleading to get views.,42,-0.8,1
VID022,https://img.youtube.com/vi/VID022/maxresdefault.jpg,Discover Hidden Gems in Your City,"Exactly what I was looking for, the thumbnail is accurate.",125,0.7,0
VID023,https://img.youtube.com/vi/VID023/maxresdefault.jpg,Learn Python in 10 Minutes – Is It Possible?,"Nothing like the thumbnail, this is total clickbait.",124,-0.8,1
VID024,https://img.youtube.com/vi/VID024/maxresdefault.jpg,The Best Life Hacks for 2025!,"Well done, accurate thumbnail!",150,0.8,0
VID025,https://img.youtube.com/vi/VID025/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,False advertising with that thumbnail. Fake content.,146,-0.8,1
VID026,https://img.youtube.com/vi/VID026/maxresdefault.jpg,How to Get a Million Views on YouTube,"Clear and honest video, no false thumbnails.",94,0.75,0
VID027,https://img.youtube.com/vi/VID027/maxresdefault.jpg,The Best Life Hacks for 2025!,"Nothing like the thumbnail, this is total clickbait.",65,-0.85,1
VID028,https://img.youtube.com/vi/VID028/maxresdefault.jpg,Breaking News! You Won't Believe This,Good content! Matches the title and thumbnail perfectly.,92,0.6,0
VID029,https://img.youtube.com/vi/VID029/maxresdefault.jpg,The Best Life Hacks for 2025!,"Total clickbait, dislike and report.",54,-0.75,1
VID030,https://img.youtube.com/vi/VID030/maxresdefault.jpg,Must-Know Tips for Traveling on a Budget,"Clear and honest video, no false thumbnails.",73,0.8,0
VID031,https://img.youtube.com/vi/VID031/maxresdefault.jpg,How to Cook Perfect Pasta Every Time,The video does not match the thumbnail at all.,80,-0.75,1
VID032,https://img.youtube.com/vi/VID032/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Informative video, no misleading here.",57,0.85,0
VID033,https://img.youtube.com/vi/VID033/maxresdefault.jpg,Unbelievable Trick to Make Money!,"Wasted my time, the thumbnail is a lie.",86,-0.85,1
